Nama,Alamat,Long,Lang,Tipe,Deskripsi
Stasiun Kereta Api Buaran,Jakarta Timur,-6.216108,106.928188,stasiun,Stasiun ini terletak pada jalur KA Commuter Jabodetabek jalur Bekasi yang dimulai dari Stasiun Jatinegara hingga Stasiun Bekasi.
Stasiun Kereta Api Cakung,Jakarta Timur,-6.21918,106.952558,stasiun,Stasiun Cakung terletak di jalur KA Commuter Jabodetabek jalur Bekasi yang dimulai dari Stasiun Jatinegara hingga Stasiun Bekasi. 
Stasiun Cipinang,Jakarta Timur,-6.2143352,106.884436,stasiun,Stasiun Cipinang terletak pada jalur KA Commuter Jabodetabek jalur Bekasi yang dimulai dari Stasiun Jatinegara hingga Stasiun Bekasi. 
Stasiun Kereta Api Cawang,Jakarta Timur,-6.243079,106.858627,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Jatinegara,Jakarta Timur,-6.215119,106.8703,stasiun,"sebuah stasiun kereta api di Jatinegara, Jakarta Timur. Stasiun ini merupakan stasiun bertemunya tiga jalur, yaitu jalur ke Pasar Senen, jalur ke Manggarai, dan jalur ke Bekasi."
Stasiun Kereta Api Klender,Jakarta Timur,-6.213311,106.89981,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Klender Baru,Jakarta Timur,-6.217602,106.940116,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Pondok Jati,Jakarta Timur,-6.205021,106.861057,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Angke,Jakarta Barat,-6.1442937,106.8006706,stasiun,"Stasiun Angke (AK) merupakan stasiun kereta api yang terletak di Jl. Stasiun Angke, perbatasan antara kelurahan Jembatan Lima danAngke, Tambora, Jakarta Barat. Stasiun ini berada di Daerah Operasi I Jakarta."
Stasiun Kereta Api Duri,Jakarta Barat,-6.155918,106.80133,stasiun," Stasiun ini berada di daerah kumuh karena banyak gubuk liar yang berdiri di sekitar jalur kereta api, sehingga dianggap menganggu perjalanan kereta api yang melintas."
Stasiun Kereta Api Sawah Besar,Jakarta Barat,-6.155918,106.80133,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Kalideres,Jakarta Barat,-6.15459,106.70591,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Kota,Jakarta Barat,-6.13752,106.814682,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Pesing,Jakarta Barat,-6.16106,106.77233,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Mangga Besar,Jakarta Barat,-6.149785,106.826996,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Duren Kalibata,Jakarta Selatan,-6.2549,106.85521,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Tanjung Barat,Jakarta Selatan,-6.30798,106.83886,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Tebet,Jakarta Selatan,-6.22604,106.85826,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Manggarai,Jakarta Selatan,-6.210426,106.84995,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Kebayoran,Jakarta Selatan,-6.23717,106.78251,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
