Kode,Tipe,iconName,Nama,Alamat,Latitude,Longitude,Deskripsi
STA_1_JT,stasiun,rail,Stasiun Kereta Api Buaran,Jakarta Timur,-6.216108,106.928188,Stasiun ini terletak pada jalur KA Commuter Jabodetabek jalur Bekasi yang dimulai dari Stasiun Jatinegara hingga Stasiun Bekasi.
STA_2_JT,stasiun,rail,Stasiun Kereta Api Cakung,Jakarta Timur,-6.21918,106.952558,Stasiun Cakung terletak di jalur KA Commuter Jabodetabek jalur Bekasi yang dimulai dari Stasiun Jatinegara hingga Stasiun Bekasi.
STA_3_JT,stasiun,rail,Stasiun Cipinang,Jakarta Timur,-6.2143352,106.884436,Stasiun Cipinang terletak pada jalur KA Commuter Jabodetabek jalur Bekasi yang dimulai dari Stasiun Jatinegara hingga Stasiun Bekasi.
STA_4_JT,stasiun,rail,Stasiun Kereta Api Cawang,Jakarta Timur,-6.243079,106.858627,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_5_JT,stasiun,rail,Stasiun Jatinegara,Jakarta Timur,-6.215119,106.8703,sebuah stasiun kereta api di Jatinegara  Jakarta Timur. Stasiun ini merupakan stasiun bertemunya tiga jalur  yaitu jalur ke Pasar Senen  jalur ke Manggarai  dan jalur ke Bekasi.
STA_6_JT,stasiun,rail,Stasiun Kereta Api Klender,Jakarta Timur,-6.213311,106.89981,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_7_JT,stasiun,rail,Stasiun Kereta Api Klender Baru,Jakarta Timur,-6.217602,106.940116,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_8_JT,stasiun,rail,Stasiun Kereta Api Pondok Jati,Jakarta Timur,-6.205021,106.861057,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_9_JB,stasiun,rail,Stasiun Kereta Api Angke,Jakarta Barat,-6.1442937,106.8006706,Stasiun Angke (AK) merupakan stasiun kereta api yang terletak di Jl. Stasiun Angke  perbatasan antara kelurahan Jembatan Lima danAngke  Tambora  Jakarta Barat. Stasiun ini berada di Daerah Operasi I Jakarta.
STA_10_JB,stasiun,rail,Stasiun Kereta Api Duri,Jakarta Barat,-6.155918,106.80133,Stasiun ini berada di daerah kumuh karena banyak gubuk liar yang berdiri di sekitar jalur kereta api  sehingga dianggap menganggu perjalanan kereta api yang melintas.
STA_11_JB,stasiun,rail,Stasiun Kereta Api Sawah Besar,Jakarta Barat,-6.155918,106.80133,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_12_JB,stasiun,rail,Stasiun Kereta Api Kalideres,Jakarta Barat,-6.15459,106.70591,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_13_JB,stasiun,rail,Stasiun Kereta Api Kota,Jakarta Barat,-6.13752,106.814682,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_14_JB,stasiun,rail,Stasiun Kereta Api Pesing,Jakarta Barat,-6.16106,106.77233,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_15_JB,stasiun,rail,Stasiun Kereta Api Mangga Besar,Jakarta Barat,-6.149785,106.826996,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_16_JS,stasiun,rail,Stasiun Kereta Api Duren Kalibata,Jakarta Selatan,-6.2549,106.85521,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_17_JS,stasiun,rail,Stasiun Kereta Api Tanjung Barat,Jakarta Selatan,-6.30798,106.83886,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_18_JS,stasiun,rail,Stasiun Kereta Api Tebet,Jakarta Selatan,-6.22604,106.85826,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_19_JS,stasiun,rail,Stasiun Kereta Api Manggarai,Jakarta Selatan,-6.210426,106.84995,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_20_JS,stasiun,rail,Stasiun Kereta Api Kebayoran,Jakarta Selatan,-6.23717,106.78251,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_21_JS,stasiun,rail,Stasiun Kereta Api Lenteng Agung,Jakarta Selatan,-6.33129,106.83483,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_22_JS,stasiun,rail,Stasiun Kereta Api Pasar Minggu,Jakarta Selatan,-6.28326,106.84459,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_23_JS,stasiun,rail,Stasiun Kereta Api Pasar Minggu Baru,Jakarta Selatan,-6.26313,106.85154,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_24_JS,stasiun,rail,Stasiun Kereta Api Universitas Pancasila,Jakarta Selatan,-6.339275,106.834222,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_25_JP,stasiun,rail,Stasiun Kereta Api Gambir,Jakarta Pusat,-6.17676,106.83049,Stasiun ini terletak di jalur KA Commuter Jabodetabek dan Kereta Api Jarak Jauh
STA_26_JP,stasiun,rail,Stasiun Kereta Api Gondangdia,Jakarta Pusat,-6.18586,106.83265,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_27_JP,stasiun,rail,Stasiun Kereta Api Cikini,Jakarta Pusat,-6.19845,106.84118,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_28_JP,stasiun,rail,Stasiun Kereta Api Jayakarta,Jakarta Pusat,-6.1414,106.82341,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_29_JP,stasiun,rail,Stasiun Kereta Api Juanda,Jakarta Pusat,-6.16619,106.83044,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_30_JP,stasiun,rail,Stasiun Kereta Api Sudirman  Dukuh Atas,Jakarta Pusat,-6.20241,106.8235,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_31_JP,stasiun,rail,Stasiun Kereta Api Tanah Abang,Jakarta Pusat,-6.18547,106.81081,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_32_JP,stasiun,rail,Stasiun Kereta Api Karet,Jakarta Pusat,-6.20089,106.81653,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_33_JP,stasiun,rail,Stasiun Kereta Api Kemayoran,Jakarta Pusat,-6.16203,106.84152,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_34_JP,stasiun,rail,Stasiun Kereta Api Kramat,Jakarta Pusat,-6.19371,106.85685,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_35_JP,stasiun,rail,Stasiun Kereta Api Palmerah,Jakarta Pusat,-6.20698,106.79756,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_36_JP,stasiun,rail,Stasiun Pasar Senen,Jakarta Pusat,-6.17419,106.84446,Terletak di wilayah ramai di dekat Gelanggang Remaja Planet Senen dan pusat perbelanjaan Pasar Senen  stasiun ini terutama melayani kereta api kelas bisnis dan kelas ekonomi tujuan Purwokerto  Kutoarjo Yogyakarta  Semarang  Solo  dan Surabaya.
STA_37_JP,stasiun,rail,Stasiun Kereta Api Rajawali,Jakarta Pusat,-6.14568,106.83705,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_38_JU,stasiun,rail,Stasiun Kereta Api Ancol,Jakarta Utara,-6.1272,106.8448,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_39_JU,stasiun,rail,Stasiun Kereta Api Tanjung Priok,Jakarta Utara,-6.11092,106.88073,Stasiun ini terletak di jalur KA Commuter Jabodetabek
STA_40_JU,stasiun,rail,Stasiun Kereta Api Kampung Bandan,Jakarta Utara,-6.13291,106.82842,Stasiun ini terletak di jalur KA Commuter Jabodetabek
TER_1_JT,terminal,bus,Terminal Pulogadung,Jakarta Timur,-6.18367,106.90811,Terminal Terpadu Pulo Gadung adalah terminal bus yang berada di Jalan Perintis Kemerdekaan dan Jalan Bekasi Raya dan berada di kawasan Pulo Gadung  Jakarta Timur. Di sini terdapat pangkalan Bus AKAP  Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_2_JT,terminal,bus,Terminal Kampung Rambutan,Jakarta Timur,-6.30948,106.8821,Di sini terdapat pangkalan Bus AKAP  Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_3_JT,terminal,bus,Terminal Kampung Melayu,Jakarta Timur,-6.22476,106.86683,Di sini terdapat pangkalan Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_4_JT,terminal,bus,Terminal Rawamangun,Jakarta Timur,-6.19763,106.89089,Di sini terdapat pangkalan Bus AKAP  Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_5_JT,terminal,bus,Terminal Pulogebang,Jakarta Timur,-6.21924,106.95667,Di sini terdapat pangkalan Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_6_JT,terminal,bus,Terminal Cililitan,Jakarta Timur,-6.2632,106.86641,Di sini terdapat pangkalan Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_7_JT,terminal,bus,Terminal Pinang Ranti,Jakarta Timur,-6.290161,106.881174,Di sini terdapat pangkalan Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_8_JS,terminal,bus,Terminal Blok M,Jakarta Selatan,-6.24344,106.80218,Di sini terdapat pangkalan Bus AKAP  Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_9_JS,terminal,bus,Terminal Manggarai,Jakarta Selatan,-6.211962,106.844396,Di sini terdapat pangkalan Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_10_JS,terminal,bus,Terminal Lebak Bulus,Jakarta Selatan,-6.28944,106.77399,Di sini terdapat pangkalan Bus AKAP  Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_11_JS,terminal,bus,Terminal Pasar Minggu,Jakarta Selatan,-6.28527,106.84387,Di sini terdapat pangkalan Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_12_JB,terminal,bus,Terminal Kalideres,Jakarta Barat,-6.154497,106.708754,Di sini terdapat pangkalan Bus AKAP  Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_13_JB,terminal,bus,Terminal Grogol,Jakarta Barat,-6.166406,106.790349,Di sini terdapat pangkalan Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_14_JP,terminal,bus,Terminal Senen,Jakarta Pusat,-6.17343,106.84201,Di sini terdapat pangkalan Bus AKAP  Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_15_JP,terminal,bus,Terminal Tanah Abang,Jakarta Pusat,-6.188438,106.813542,Di sini terdapat pangkalan Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
TER_16_JU,terminal,bus,Terminal Tanjung Priok,Jakarta Utara,-6.109611,106.881362,Di sini terdapat pangkalan Bus AKAP  Metromini  Angkot  dan Mikrolet. Angkutan umum Jakarta
WIS_1_JP,wisata,museum,MASJID ISTIQLAL,Jakarta Pusat,-6.170166,106.831376,Masjid Istiqlal adalah masjid negara Republik Indonesia yang terletak di pusat ibukota Jakarta. Masjid Istiqlal merupakan masjid terbesar di Asia Tenggara.
WIS_2_JP,wisata,museum,MONUMEN NASIONAL (MONAS),Jakarta Pusat,-6.175396,106.827103,Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonia
WIS_3_JP,wisata,museum,TAMAN ISMAIL MARZUKI (TIM),Jakarta Pusat,-6.189006,106.838151,Pusat Kesenian Jakarta Taman Ismail Marzuki yang populer disebut Taman Ismail Marzuki (TIM) merupakan sebuah pusat kesenian dan kebudayaan yang berlokasi di jalan Cikini Raya 73  Jakarta Pusat. Di sini terletak Institut Kesenian Jakarta dan Planetarium Ja
WIS_4_JP,wisata,museum,GELANGGANG OLAH RAGA BUNG KARNO,Jakarta Pusat,-6.21827,106.8018,Stadion Utama Gelora Bung Karno adalah sebuah stadion serbaguna di Jakarta  Indonesia yang merupakan bagian dari kompleks olahragaGelanggang Olahraga Bung Karno. Stadion ini umumnya digunakan sebagai arena pertandingan sepak bola tingkat internasional.
WIS_5_JS,wisata,museum,KEBUN BINATANG RAGUNAN,Jakarta Selatan,-6.30929,106.82037,Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan  Pasar Minggu  Jakarta Selatan  Indonesia. Kebun binatang seluas 140 hektar ini didirikan pada tahun 1864. Di dalamnya  terdapat berbagai koleksi yang terdiri dari 295 spe
